SampleId,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
80,39,services,married,tertiary,no,35,no,no,cellular,20,aug,211,3,-1,0,unknown,False
81,32,blue-collar,single,secondary,no,0,no,no,cellular,23,jul,271,6,-1,0,unknown,False
82,44,housemaid,married,tertiary,no,460,no,no,unknown,17,jun,491,1,-1,0,unknown,False
83,38,admin.,married,secondary,no,9618,yes,no,unknown,9,jun,214,1,-1,0,unknown,False
84,36,blue-collar,married,primary,no,994,yes,no,cellular,14,may,154,2,356,8,success,False
85,34,entrepreneur,married,tertiary,no,4343,no,no,unknown,9,jun,85,4,-1,0,unknown,False
86,27,admin.,single,secondary,no,116,no,no,cellular,30,jan,46,1,-1,0,unknown,False
87,53,self-employed,married,tertiary,no,20,yes,no,cellular,7,aug,218,2,-1,0,unknown,False
88,30,services,married,secondary,no,-932,no,no,unknown,27,may,349,3,-1,0,unknown,False
89,41,management,married,tertiary,no,1272,yes,no,cellular,17,nov,214,1,-1,0,unknown,False
90,58,management,married,tertiary,no,313,no,no,unknown,11,jun,204,2,-1,0,unknown,False
91,33,services,single,tertiary,no,0,yes,no,cellular,18,nov,199,1,-1,0,unknown,False
92,65,retired,married,unknown,no,679,no,no,cellular,13,may,593,2,178,1,success,False
93,25,management,single,tertiary,no,1270,yes,no,unknown,13,may,124,2,-1,0,unknown,False
94,36,technician,married,unknown,no,88,yes,yes,unknown,4,jul,124,2,-1,0,unknown,False
95,34,technician,married,secondary,no,1,yes,no,cellular,19,nov,108,1,-1,0,unknown,False
96,51,management,married,tertiary,no,2704,yes,no,telephone,21,jul,443,1,-1,0,unknown,False
97,40,technician,married,tertiary,no,1207,no,no,cellular,22,aug,105,3,-1,0,unknown,False
98,45,blue-collar,married,secondary,no,154,yes,no,unknown,7,may,1138,1,-1,0,unknown,True
99,38,blue-collar,married,secondary,no,56,yes,no,cellular,22,jul,238,2,-1,0,unknown,False
100,54,blue-collar,married,primary,no,69,no,no,cellular,17,nov,71,1,-1,0,unknown,False
101,77,retired,married,secondary,no,820,no,no,telephone,21,oct,330,2,181,4,success,True
102,33,blue-collar,married,secondary,no,-211,yes,no,cellular,29,jul,96,5,-1,0,unknown,False
103,46,services,married,secondary,no,997,yes,no,unknown,12,may,398,1,-1,0,unknown,False
104,36,management,divorced,tertiary,no,133,yes,no,unknown,9,may,117,1,-1,0,unknown,False
105,47,technician,single,secondary,no,-504,no,yes,cellular,22,jul,108,1,-1,0,unknown,False
106,32,blue-collar,single,primary,no,1137,yes,yes,cellular,6,may,274,1,-1,0,unknown,False
107,30,unemployed,married,tertiary,no,330,no,no,cellular,14,apr,111,1,-1,0,unknown,True
108,31,services,married,secondary,no,-331,yes,no,unknown,23,may,203,5,-1,0,unknown,False
109,37,technician,married,secondary,no,1725,no,no,cellular,22,aug,75,7,-1,0,unknown,False
110,27,student,single,secondary,no,8366,no,no,cellular,7,may,458,2,349,1,other,False
111,50,blue-collar,married,primary,no,280,yes,no,unknown,18,jun,61,23,-1,0,unknown,False
112,38,blue-collar,married,secondary,no,-388,yes,no,unknown,9,may,412,1,-1,0,unknown,False
113,35,technician,divorced,secondary,no,0,no,no,cellular,24,jul,262,2,-1,0,unknown,False
114,54,management,single,secondary,no,602,no,no,cellular,30,jul,101,2,-1,0,unknown,False
115,57,retired,married,secondary,no,1044,no,no,telephone,12,jul,567,1,182,3,success,True
116,38,technician,single,tertiary,no,744,yes,no,cellular,14,may,283,1,288,12,other,False
117,54,management,married,secondary,no,1987,no,no,cellular,14,jul,219,3,-1,0,unknown,False
118,37,management,married,tertiary,no,1852,no,no,cellular,13,may,117,2,370,1,failure,False
119,51,services,married,primary,no,8806,yes,no,unknown,19,may,131,1,-1,0,unknown,False
120,39,blue-collar,married,secondary,no,130,yes,no,unknown,13,may,141,6,-1,0,unknown,False
121,39,services,married,secondary,no,1099,no,no,unknown,29,may,134,6,-1,0,unknown,False
122,43,management,divorced,tertiary,no,0,no,no,cellular,9,jul,134,1,-1,0,unknown,False
123,29,technician,married,tertiary,no,975,no,no,unknown,1,jul,56,1,-1,0,unknown,False
124,47,management,married,tertiary,no,437,yes,no,cellular,20,nov,133,4,-1,0,unknown,False
125,30,services,married,secondary,no,134,yes,no,cellular,17,apr,834,1,-1,0,unknown,False
126,42,blue-collar,single,primary,no,-376,yes,no,cellular,18,may,53,1,-1,0,unknown,False
127,35,services,single,primary,no,739,yes,no,cellular,4,feb,605,1,-1,0,unknown,False
128,54,services,married,secondary,no,-165,no,yes,unknown,3,jul,202,1,-1,0,unknown,False
129,56,management,married,primary,no,-155,yes,no,cellular,17,nov,282,1,-1,0,unknown,False
130,40,blue-collar,married,primary,no,665,yes,no,cellular,5,feb,177,3,211,1,success,False
131,51,admin.,divorced,secondary,no,115,yes,yes,unknown,8,may,136,1,-1,0,unknown,False
132,36,entrepreneur,divorced,tertiary,no,299,yes,no,cellular,18,nov,583,2,-1,0,unknown,False
133,45,management,single,tertiary,no,0,no,no,cellular,27,may,114,1,-1,0,unknown,False
134,37,technician,single,secondary,no,5436,yes,no,cellular,6,may,7,11,351,1,failure,False
135,41,management,divorced,tertiary,no,3426,no,no,cellular,4,jun,102,2,297,3,failure,True
136,82,retired,married,unknown,no,211,no,no,telephone,22,apr,195,3,-1,0,unknown,False
137,52,management,married,secondary,no,264,no,no,cellular,20,aug,68,8,-1,0,unknown,False
138,54,retired,married,primary,no,1379,no,no,unknown,11,jun,136,1,-1,0,unknown,False
139,34,technician,married,secondary,no,47,no,no,cellular,25,aug,132,6,-1,0,unknown,False
140,44,services,divorced,secondary,no,12,yes,yes,cellular,31,jul,5,3,-1,0,unknown,False
141,54,admin.,divorced,secondary,no,791,no,yes,cellular,10,jul,66,1,-1,0,unknown,False
142,36,management,married,tertiary,no,3839,no,no,cellular,19,nov,146,1,-1,0,unknown,False
143,46,admin.,married,unknown,no,2033,no,no,cellular,24,feb,99,2,86,5,failure,False
144,33,entrepreneur,single,tertiary,no,327,yes,yes,unknown,6,jun,562,2,-1,0,unknown,False
145,43,management,married,tertiary,no,370,no,no,cellular,28,aug,142,5,-1,0,unknown,False
146,28,technician,single,secondary,no,909,no,yes,cellular,7,jul,532,1,-1,0,unknown,True
147,40,management,divorced,tertiary,no,823,no,no,cellular,13,aug,159,4,-1,0,unknown,False
148,34,services,divorced,secondary,no,169,yes,no,unknown,16,may,260,1,-1,0,unknown,False
149,56,retired,married,tertiary,no,281,no,no,cellular,3,mar,96,2,-1,0,unknown,True
150,40,blue-collar,married,secondary,no,-365,yes,no,unknown,19,may,44,43,-1,0,unknown,False
151,28,technician,single,secondary,no,113,no,no,cellular,13,aug,204,3,105,1,failure,True
152,32,management,married,secondary,no,1215,yes,yes,cellular,3,feb,211,2,-1,0,unknown,False
153,37,technician,married,primary,no,0,yes,no,unknown,6,may,76,4,-1,0,unknown,False
154,31,self-employed,single,tertiary,no,275,no,no,cellular,14,sep,99,3,-1,0,unknown,False
155,31,blue-collar,single,primary,no,435,yes,no,unknown,7,may,159,2,-1,0,unknown,False
156,40,technician,married,secondary,yes,4,no,no,cellular,27,aug,145,3,-1,0,unknown,False
157,37,management,single,secondary,no,793,no,no,cellular,7,oct,130,1,-1,0,unknown,False
158,47,services,married,secondary,no,459,no,no,cellular,19,aug,599,3,-1,0,unknown,False
159,30,blue-collar,single,secondary,no,-61,no,no,cellular,29,jan,111,2,196,1,failure,False
160,51,unemployed,married,secondary,no,495,yes,yes,unknown,20,jun,154,8,-1,0,unknown,False
161,31,management,married,tertiary,no,395,yes,no,cellular,9,feb,155,3,-1,0,unknown,False
162,59,retired,divorced,secondary,no,93,no,no,unknown,26,may,193,2,-1,0,unknown,False
163,47,blue-collar,married,primary,no,0,yes,no,unknown,15,may,30,1,-1,0,unknown,False
164,47,unknown,married,unknown,no,8,no,no,telephone,26,may,164,1,-1,0,unknown,False
165,33,technician,single,secondary,no,810,yes,no,unknown,27,may,133,1,-1,0,unknown,False
166,54,blue-collar,married,primary,no,2102,yes,no,unknown,6,may,76,1,-1,0,unknown,False
167,25,management,single,tertiary,no,3902,no,no,cellular,23,sep,856,1,-1,0,unknown,True
168,46,unemployed,divorced,secondary,no,0,no,no,cellular,30,jul,638,3,-1,0,unknown,False
169,36,technician,single,tertiary,no,162,yes,no,unknown,20,may,216,2,-1,0,unknown,False
170,34,blue-collar,single,secondary,no,2764,yes,no,cellular,13,may,158,1,357,1,failure,False
171,46,technician,divorced,secondary,no,256,no,no,cellular,11,aug,105,2,-1,0,unknown,False
172,51,entrepreneur,married,primary,no,4711,no,no,unknown,19,jun,253,1,-1,0,unknown,False
173,61,blue-collar,divorced,primary,no,1428,yes,no,unknown,5,may,82,2,-1,0,unknown,False
174,41,blue-collar,divorced,unknown,no,19,no,yes,cellular,8,jul,514,5,-1,0,unknown,False
175,48,blue-collar,married,unknown,no,434,no,no,cellular,18,aug,73,6,-1,0,unknown,False
176,37,technician,single,secondary,no,194,yes,no,cellular,2,feb,144,1,-1,0,unknown,False
177,38,blue-collar,single,secondary,no,334,yes,no,cellular,18,jul,541,7,-1,0,unknown,False
178,27,technician,single,secondary,no,487,yes,no,cellular,23,jul,319,1,-1,0,unknown,False
179,32,technician,single,secondary,no,4069,yes,no,cellular,25,jul,273,1,-1,0,unknown,False
180,54,blue-collar,married,primary,no,6191,no,no,cellular,19,nov,102,2,-1,0,unknown,False
181,55,unemployed,single,primary,no,274,no,no,cellular,9,feb,7,5,-1,0,unknown,False
182,42,blue-collar,married,secondary,no,2913,no,no,cellular,3,jun,705,1,195,1,failure,True
183,33,technician,single,secondary,no,0,yes,yes,cellular,9,feb,47,2,12,4,other,False
184,33,self-employed,married,tertiary,no,1249,yes,no,cellular,11,jul,261,2,-1,0,unknown,False
185,28,services,married,secondary,no,0,yes,no,cellular,5,may,335,2,281,8,failure,False
186,51,unemployed,married,tertiary,no,1634,yes,no,cellular,22,jul,168,4,-1,0,unknown,False
187,46,entrepreneur,single,tertiary,no,1410,yes,no,cellular,19,nov,93,1,189,8,failure,False
188,25,blue-collar,divorced,secondary,no,720,yes,no,unknown,4,jun,156,1,-1,0,unknown,False
189,56,blue-collar,married,primary,no,0,no,no,unknown,17,jun,82,2,-1,0,unknown,False
190,32,management,single,tertiary,no,3552,no,no,cellular,20,nov,310,3,-1,0,unknown,False
191,31,management,married,tertiary,no,2603,yes,no,cellular,11,feb,280,4,-1,0,unknown,True
192,34,admin.,single,secondary,no,-478,yes,yes,unknown,27,jun,111,4,-1,0,unknown,False
193,38,technician,married,unknown,no,90,yes,yes,unknown,8,may,20,2,-1,0,unknown,False
194,40,technician,married,secondary,no,-282,yes,no,unknown,6,jun,223,3,-1,0,unknown,False
195,53,services,divorced,tertiary,no,329,no,no,cellular,30,jan,189,1,-1,0,unknown,False
196,44,admin.,divorced,secondary,no,738,yes,no,cellular,11,may,55,1,171,8,failure,False
197,30,services,divorced,secondary,no,341,yes,no,cellular,13,may,54,1,174,1,success,False
198,31,blue-collar,divorced,secondary,no,916,yes,yes,cellular,11,jul,172,2,-1,0,unknown,False
199,40,blue-collar,married,secondary,no,598,yes,no,cellular,31,jul,90,5,-1,0,unknown,False
200,57,retired,divorced,secondary,no,-663,yes,no,cellular,13,may,210,1,351,2,failure,False
201,46,housemaid,married,primary,no,4064,no,no,unknown,20,jun,62,4,-1,0,unknown,False
202,31,unemployed,single,secondary,no,284,yes,no,cellular,2,feb,855,1,-1,0,unknown,True
203,42,self-employed,divorced,secondary,no,484,yes,no,cellular,21,nov,321,3,127,3,failure,False
204,50,technician,married,secondary,no,4,no,no,cellular,10,jul,200,5,-1,0,unknown,False
205,42,technician,divorced,secondary,no,611,yes,no,cellular,16,apr,804,2,262,5,failure,False
206,60,blue-collar,married,primary,no,864,no,no,telephone,22,aug,67,4,-1,0,unknown,False
207,33,self-employed,single,tertiary,no,658,yes,no,cellular,12,oct,146,2,183,3,failure,False
208,33,admin.,single,secondary,no,1834,yes,no,cellular,21,nov,11,2,-1,0,unknown,False
209,48,technician,single,secondary,no,309,no,no,cellular,7,aug,190,2,-1,0,unknown,False
210,32,management,married,tertiary,no,1570,no,no,cellular,4,aug,156,1,-1,0,unknown,False
211,59,management,married,tertiary,no,1831,no,no,cellular,26,may,245,2,98,2,failure,False
212,31,admin.,married,secondary,no,-106,yes,no,cellular,3,feb,258,4,-1,0,unknown,False
213,50,blue-collar,married,secondary,no,283,yes,no,cellular,7,aug,226,3,-1,0,unknown,False
214,57,management,divorced,tertiary,no,-676,yes,yes,cellular,29,jan,100,2,247,1,failure,False
215,53,blue-collar,married,unknown,no,0,no,no,cellular,21,aug,150,2,-1,0,unknown,False
216,33,services,married,secondary,no,1330,yes,no,cellular,18,nov,245,1,-1,0,unknown,False
217,33,blue-collar,divorced,secondary,no,86,no,yes,cellular,21,nov,183,3,186,1,failure,False
218,58,services,married,secondary,no,382,no,no,cellular,26,aug,384,4,-1,0,unknown,False
219,37,unemployed,single,tertiary,no,1032,no,no,telephone,4,feb,63,1,-1,0,unknown,False
220,46,admin.,married,secondary,no,5021,no,no,cellular,15,jul,957,1,182,1,success,True
221,32,technician,single,tertiary,no,548,no,no,cellular,18,aug,377,7,-1,0,unknown,False
222,55,management,married,tertiary,no,0,no,no,unknown,30,jun,111,2,-1,0,unknown,False
223,37,services,married,secondary,no,718,no,yes,unknown,9,jun,215,3,-1,0,unknown,False
224,48,entrepreneur,married,tertiary,no,354,yes,no,cellular,9,feb,37,4,-1,0,unknown,False
225,31,technician,single,tertiary,no,4979,no,yes,cellular,27,aug,33,2,-1,0,unknown,False
226,49,services,married,unknown,no,1990,yes,no,cellular,19,nov,44,4,-1,0,unknown,False
227,47,self-employed,married,secondary,no,523,no,no,unknown,20,jul,7,1,-1,0,unknown,False
228,38,management,married,tertiary,no,-469,yes,no,unknown,16,jun,209,12,-1,0,unknown,False
229,41,management,married,tertiary,no,2676,no,no,cellular,28,aug,210,4,-1,0,unknown,False
230,41,housemaid,married,secondary,no,12,no,yes,cellular,28,jul,472,3,-1,0,unknown,False
231,47,services,married,secondary,no,2796,yes,no,unknown,15,may,57,2,-1,0,unknown,False
232,38,housemaid,divorced,primary,no,359,no,no,unknown,9,jun,242,4,-1,0,unknown,False
233,39,management,married,tertiary,no,2976,no,no,cellular,5,feb,134,12,-1,0,unknown,False
234,60,retired,married,secondary,no,0,no,no,cellular,15,jul,94,3,-1,0,unknown,False
235,44,technician,divorced,secondary,no,242,no,no,cellular,25,aug,69,4,-1,0,unknown,False
236,42,blue-collar,married,primary,no,-571,yes,yes,telephone,21,nov,136,2,179,4,failure,False
237,42,blue-collar,divorced,primary,no,1278,no,no,cellular,29,jul,422,4,-1,0,unknown,False
238,53,services,married,unknown,no,442,yes,no,cellular,12,aug,166,1,36,2,other,False
239,56,technician,divorced,secondary,no,1561,no,no,cellular,13,aug,75,1,-1,0,unknown,False
240,24,services,single,tertiary,no,1385,yes,no,unknown,28,may,1277,2,-1,0,unknown,False
241,46,blue-collar,married,secondary,no,853,no,no,cellular,11,jul,1187,3,-1,0,unknown,False
242,54,management,married,tertiary,no,2819,no,no,cellular,7,aug,123,3,-1,0,unknown,False
243,29,admin.,single,tertiary,no,261,no,no,cellular,17,mar,136,19,-1,0,unknown,False
244,31,blue-collar,single,tertiary,no,328,yes,no,cellular,14,may,414,1,175,1,failure,False
245,41,technician,married,secondary,no,2039,no,no,cellular,25,aug,160,4,-1,0,unknown,False
246,28,blue-collar,married,secondary,no,196,yes,no,unknown,26,jun,176,7,-1,0,unknown,False
247,39,technician,single,secondary,no,0,no,no,cellular,25,aug,194,9,-1,0,unknown,False
248,43,management,single,tertiary,no,0,no,no,cellular,30,jun,275,2,296,1,failure,True
249,32,technician,single,secondary,no,14,yes,yes,cellular,16,apr,429,1,-1,0,unknown,False
250,53,services,married,unknown,no,164,no,no,cellular,29,jan,139,1,-1,0,unknown,False
251,51,retired,married,primary,no,67,no,no,unknown,18,jun,835,1,-1,0,unknown,True
252,59,retired,married,secondary,no,0,no,no,unknown,5,jun,812,1,-1,0,unknown,True
253,51,blue-collar,married,primary,no,7098,no,no,cellular,6,aug,1471,7,-1,0,unknown,True
254,52,blue-collar,married,secondary,no,-194,yes,no,cellular,18,may,326,1,-1,0,unknown,False
255,33,services,married,secondary,no,881,yes,no,unknown,21,may,67,5,-1,0,unknown,False
256,48,unemployed,divorced,secondary,no,201,no,no,cellular,10,nov,594,1,91,1,success,True
257,28,services,married,secondary,no,0,yes,no,cellular,5,may,334,1,355,6,failure,False
258,60,technician,married,secondary,no,0,yes,no,unknown,6,jun,280,3,-1,0,unknown,False
259,56,services,married,secondary,yes,-8,no,no,cellular,6,aug,159,2,-1,0,unknown,False
260,34,admin.,single,tertiary,no,18,yes,no,cellular,6,may,285,1,288,17,other,False
261,54,housemaid,married,secondary,no,0,no,yes,cellular,7,jul,97,1,-1,0,unknown,False
262,29,technician,married,tertiary,no,1337,yes,no,cellular,17,jul,125,2,-1,0,unknown,False
263,49,management,married,tertiary,no,1533,no,no,cellular,17,nov,324,1,172,1,failure,False
264,45,management,divorced,tertiary,no,854,no,yes,cellular,8,jul,730,1,-1,0,unknown,True
265,28,technician,married,tertiary,no,1198,no,yes,cellular,10,jul,57,3,-1,0,unknown,False
266,48,services,married,secondary,no,1573,no,no,cellular,5,aug,165,1,-1,0,unknown,False
267,34,technician,married,secondary,no,33,no,no,cellular,28,aug,259,1,-1,0,unknown,False
268,92,retired,married,unknown,no,775,no,no,cellular,26,jan,164,4,96,3,success,True
269,47,blue-collar,married,secondary,no,11305,no,no,cellular,22,aug,118,6,-1,0,unknown,False
270,27,admin.,single,secondary,no,691,yes,no,unknown,3,jun,418,2,-1,0,unknown,False
271,56,self-employed,married,tertiary,no,871,yes,no,unknown,14,may,381,1,-1,0,unknown,False
272,57,retired,married,tertiary,no,1292,no,no,cellular,24,mar,89,1,-1,0,unknown,False
273,30,student,single,secondary,no,459,no,no,cellular,13,jul,98,2,210,22,success,False
274,37,blue-collar,single,secondary,no,7622,yes,yes,telephone,6,may,111,1,-1,0,unknown,False
275,32,admin.,married,secondary,no,203,yes,yes,cellular,7,may,219,2,-1,0,unknown,False
276,37,management,divorced,tertiary,no,-42,yes,no,cellular,14,may,668,2,-1,0,unknown,True
277,43,technician,divorced,primary,no,13,no,yes,cellular,9,jul,977,4,-1,0,unknown,False
278,46,blue-collar,single,secondary,no,57,yes,no,unknown,14,may,194,4,-1,0,unknown,False
279,28,blue-collar,single,secondary,no,3412,yes,no,cellular,15,may,22,4,-1,0,unknown,False
280,59,management,married,tertiary,no,3401,no,no,cellular,2,feb,111,1,-1,0,unknown,False
281,30,management,single,tertiary,no,1673,no,no,cellular,4,aug,200,1,-1,0,unknown,False
282,46,blue-collar,married,secondary,no,836,no,no,cellular,27,aug,199,4,-1,0,unknown,False
283,44,blue-collar,married,primary,no,321,yes,no,unknown,11,jun,59,8,-1,0,unknown,False
284,31,blue-collar,single,secondary,no,-322,no,yes,unknown,4,jul,208,1,-1,0,unknown,False
285,57,retired,married,primary,no,9367,no,no,cellular,14,may,700,4,92,7,success,True
286,29,technician,single,tertiary,no,2325,no,no,cellular,2,feb,125,1,-1,0,unknown,True
287,30,management,married,tertiary,no,1239,no,no,cellular,28,aug,125,5,-1,0,unknown,False
288,47,entrepreneur,divorced,secondary,no,2,yes,yes,cellular,29,jul,104,4,-1,0,unknown,False
289,39,blue-collar,married,primary,no,2169,no,no,unknown,17,jun,170,2,-1,0,unknown,False
290,34,admin.,married,secondary,no,353,no,yes,cellular,18,nov,126,3,-1,0,unknown,False
291,50,blue-collar,married,unknown,no,1389,yes,no,cellular,17,apr,300,3,302,3,failure,False
292,30,student,single,tertiary,no,2539,no,no,telephone,5,mar,199,5,-1,0,unknown,True
293,34,student,single,tertiary,no,3404,yes,no,cellular,8,apr,420,1,139,5,failure,False
294,37,management,married,secondary,no,510,yes,no,cellular,21,aug,154,6,-1,0,unknown,False
295,41,unknown,single,secondary,no,646,yes,no,unknown,29,may,40,2,-1,0,unknown,False
296,42,technician,divorced,secondary,no,3043,yes,yes,unknown,30,may,224,5,-1,0,unknown,False
297,32,admin.,single,secondary,no,6042,yes,no,cellular,15,may,183,1,361,1,failure,False
